gdp,urb_pop
666.2918,26.282
5935.7224,43.274
4619.2113,56.409
7574.2881,57.62125
3646.6627,62.812
13961.2228,24.19
51127.0762,65.919
7884.1902,54.355
295.1179,11.761
47516.5211,97.818
825.2261,43.514
720.0486,29.024
1096.5625,33.516
7712.7639,73.626
22245.544,82.801
4796.2082,39.616
8040.0476,76.277
11612.5108,85.433
15199.2897,31.554
40776.3478,76.887
7757.0254,57.187
378.605,39.759
7593.8819,54.41
1426.4041,53.819
7720.0469,76.161
860.8285,28.193
3715.3492,64.84
10035.4474,75.915
27194.3918,67.019
47627.3921,75.094
7433.9279,69.256
60634.3943,87.502
6222.4837,51.94329
6850.3201,59.89735
39567.902,75.68812
590.226,22.193
30262.2256,79.355
567.8161,19.028
36317.7828,74.56799
1554.9568,40.72914
49541.2882,84.086
4543.2549,53.354
1461.6101,53.392
549.9937,36.68
422.781,59.015
585.6187,48.55
21682.5983,77.678
8299.1282,35.58
3702.9818,51.115
37896.8092,80.6446
2346.677,54.137
13507.3586,58.656
13902.7047,70.771
3514.6169,53.003
53313.6124,62.952
6432.7948,69.361
52111.0431,94.042
34960.295,68.821
36194.4156,93.021
1269.1393,35.585
1084.4457,20.514
1604.3786,44.173
15209.8657,31.96
27970.4943,82.36
9127.2584,77.67668
1707.5078,37.551
10139.2225,87.67
6575.4314,78.359
7437.0448,18.477
10125.5899,79.51712
944.3736,30.88552
648.1,29.61036
3631.0472,18.32
2032.7627,38.58213
4301.1409,47.04844
995.4759,26.789
16037.7821,67.421
3139.9508,59.699
2233.7715,44.925
449.3961,34.468
8624.8037,44.494
8518.7024,64.06463
10361.2931,78.971
4731.6454,49.1061
5370.6977,57.029
765.747,39.143
1197.5295,33.551
4333.2817,60.41867
7370.857,63.832
4170.154,71.222
1270.2309,59.255
10005.6158,39.814
253.0155,16.102
54198.6801,81.47077
440.722,18.469
3184.6187,46.942
1913.6208,58.459
97363.0933,80.208
698.2813,18.243
38400.076,80.0419
4749.0403,48.57178
1333.5085,38.303
11770.8609,66.292
6594.3727,78.285
2843.0768,44.488
11879.6778,86.452
14422.838,60.568
22080.892,62.908
4479.1318,59.416
3575.2067,37.21287
93397.0915,99.159
9996.6703,54.393
12735.9184,73.924
652.0792,27.841
1541.1082,32.6098
25409.0251,82.926
1904.2205,33.623
1070.8505,43.393
2021.7382,21.876
3950.6547,66.255
6152.8671,55.455
1781.0591,37.15348
1113.4087,18.591
1692.4347,64.511
18416.5424,53.757
23962.576,49.695
58887.2519,85.665
2682.3477,21.315
15359.1784,53.559
1053.8241,22.341
646.1156,39.469
9031.5405,49.688
1280.415,32.131
4106.4293,23.632
998.0589,30.901
677.3756,15.766
3082.4614,69.482
7986.8729,61.80571
16810.8867,95.152
6477.8601,64.298
475.2336,41.976
1801.8924,40.472
